Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Transaction_Count_per_Contact,Loyal_Customer,Creditworthiness,Cr_Util_Rate,Attrition_Flag
0.0,-1.0,0.5,-1.0,1.0,0.5,0.0,0.0,0.5,-1.0,1.0,0.9564757709251102,-0.35017543859649125,0.9889272950963736,2.627192982456139,-1.0655579191645717,-0.6944444444444444,3.911016949152544,-0.23958333333333337,-0.5,0.0,-0.2846917896871905,-0.23839770336681787,0
0.0,0.0,1.5,0.0,0.0,-0.5,0.0,0.0,1.0,-1.0,0.0,0.4354772393538913,-0.28912280701754384,0.45907786044876675,3.530701754385963,-1.0087023786501643,-0.9444444444444444,12.762711864406786,-0.14791666666666672,-0.6666666666666666,0.0,-0.6189893414379136,-0.14792118325359851,0
0.0,-1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-2.0,-0.13286343612334803,-0.895438596491228,-0.0065616029058527155,8.14912280701754,-0.7781860375169213,-1.3055555555555556,6.911016949152547,-0.3666666666666667,-0.9074074074074074,0.0,2.2811008036902924,-0.3659547645100451,0
-1.0,0.0,1.0,-1.0,0.0,-0.5,0.0,-1.0,-0.5,2.0,-1.0,-0.14519823788546254,0.8708771929824561,-0.3137852246763138,2.9342105263157885,-1.0551150647843743,-1.3055555555555556,6.911016949152547,1.2166666666666666,-0.5370370370370371,-1.0,-0.22837410512819534,1.2169001526825947,0
-1.0,-1.0,0.5,-1.0,1.0,0.5,0.0,-2.0,0.5,-1.0,-2.0,0.01961820851688693,-0.895438596491228,0.1455269787333763,6.311403508771926,-1.1924192612647457,-1.0833333333333333,7.618644067796614,-0.3666666666666667,-1.2777777777777777,-1.0,0.7233505753213376,-0.3659547645100451,0
-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-1.0,0.0,-0.06331864904552129,-0.020350877192982456,-0.08330892260823715,2.8070175438596476,-1.0872171726938697,-1.1944444444444444,0.6101694915254237,0.28124999999999994,-0.8333333333333334,0.0,0.4667557668301996,0.28193543557595774,0
0.0,-1.0,1.0,0.0,1.0,1.5,2.0,1.0,1.0,-1.0,1.0,3.520352422907489,0.6933333333333334,3.371960864725526,5.434210526315788,-0.9936182556565462,-1.0,0.08474576271186406,-0.2291666666666667,-0.8950617283950616,0.0,-0.47375043734769395,-0.22929669158748692,0
-2.0,-1.0,-1.0,-1.0,0.0,0.5,1.0,-1.0,-1.0,0.0,0.0,2.8818795888399413,0.08421052631578947,2.8368387134571447,6.438596491228068,-0.9131695996905821,-0.8611111111111112,0.05084745762711872,-0.26666666666666666,0.05555555555555555,-1.0,-0.6206548328466192,-0.2659420046274033,0
-1.0,-1.0,0.5,-1.0,0.0,0.5,0.0,0.0,0.5,0.0,-2.0,2.091395007342144,0.8708771929824561,1.9170425918331477,11.486842105263152,-0.9858828079675112,-1.1944444444444444,2.033898305084746,-0.13125000000000003,-0.8333333333333334,0.0,-0.5423402684686719,-0.13134496043617183,0
0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8348898678414097,0.2814035087719298,0.7622004804030699,3.4561403508771917,-0.9506865209824018,-0.9722222222222222,0.7627118644067798,-0.06666666666666667,-0.6851851851851852,0.0,0.046397434040264356,-0.06620223690416509,0
